id,name,artist,title,duration,trackNumber,releaseDate,trackUrl
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),216880,8,2000-10-24,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq
7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,Linkin Park,LIVING THINGS,230253,3,2012-06-20,https://api.spotify.com/v1/tracks/7oVEtyuv9NBmnytsCIsY5I
0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,Linkin Park,Minutes to Midnight,166373,4,2007-05-14,https://api.spotify.com/v1/tracks/0UFDKFqW2oGspYeYqo9wjA
0kO3njY9N1Rxgv27Ha1lLh,Numb,Linkin Park,Meteora (Bonus Edition),185586,13,2003-03-24,https://api.spotify.com/v1/tracks/0kO3njY9N1Rxgv27Ha1lLh
1OrCpmM69OMGktWh4QqGpK,Paradise Lost,Hollywood Undead,Swan Songs,190626,14,2008-09-02,https://api.spotify.com/v1/tracks/1OrCpmM69OMGktWh4QqGpK
77i67zFnjVYIXlsqzZmMtv,Let Me Go - Rock Version,3 Doors Down,Seventeen Days (International Version),232360,3,2005,https://api.spotify.com/v1/tracks/77i67zFnjVYIXlsqzZmMtv
5ZPp1V3PufN6qhAe3rLNmb,Kryptonite,3 Doors Down,The Better Life,233826,1,2000,https://api.spotify.com/v1/tracks/5ZPp1V3PufN6qhAe3rLNmb
0uybt73QFXaLCoxuVf6fhm,It's Not My Time,3 Doors Down,3 Doors Down,241960,3,2008-01-01,https://api.spotify.com/v1/tracks/0uybt73QFXaLCoxuVf6fhm
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,Away From The Sun,238733,6,2002-11-12,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4
3WbphvawbMZ8FyqDxYGdSQ,When I'm Gone,3 Doors Down,Away From The Sun,260333,1,2002-11-12,https://api.spotify.com/v1/tracks/3WbphvawbMZ8FyqDxYGdSQ
7fKsaiVDwKe6VVsiGk48YG,Citizen/Soldier,3 Doors Down,3 Doors Down,232906,2,2008-01-01,https://api.spotify.com/v1/tracks/7fKsaiVDwKe6VVsiGk48YG
3THdexHRmED4euIY91Zrxc,Away From The Sun,3 Doors Down,Away From The Sun,232066,2,2002-11-12,https://api.spotify.com/v1/tracks/3THdexHRmED4euIY91Zrxc
,All or Nothing,Theory of a Deadman,,210000,0,,
2kAftQ0WpnmoRxBbqFCd3A,Santa Monica,Theory of a Deadman,Gasoline,246546,5,2005-03-28,https://api.spotify.com/v1/tracks/2kAftQ0WpnmoRxBbqFCd3A
,Say Goodbye,Theory of a Deadman,,182000,0,,
5ynWvN3bQymHVThxutO4hG,Bad Girlfriend,Theory of a Deadman,Scars & Souvenirs,205626,8,2008-04-01,https://api.spotify.com/v1/tracks/5ynWvN3bQymHVThxutO4hG
21rrpIokftsRDF2StX3TcI,Hate My Life,Theory of a Deadman,Scars & Souvenirs,190400,9,2008-04-01,https://api.spotify.com/v1/tracks/21rrpIokftsRDF2StX3TcI
6kp8F9FpHXzjga2MeRDSG8,Bitch Came Back,Theory of a Deadman,The Truth Is... (Special Edition),219360,2,2011-07-08,https://api.spotify.com/v1/tracks/6kp8F9FpHXzjga2MeRDSG8
2mYMAJGoauv6LYCpzIOGBi,Lowlife,Theory of a Deadman,The Truth Is... (Special Edition),205626,1,2011-07-08,https://api.spotify.com/v1/tracks/2mYMAJGoauv6LYCpzIOGBi
6fsHQN6zZT64dapQ2XjI19,Hurricane,Theory of a Deadman,The Truth Is... (Special Edition),257453,3,2011-07-08,https://api.spotify.com/v1/tracks/6fsHQN6zZT64dapQ2XjI19
7qe0UUpG2whP8L5HUBSqJA,The Truth Is... (I Lied About Everything),Theory of a Deadman,The Truth Is... (Special Edition),207933,7,2011-07-08,https://api.spotify.com/v1/tracks/7qe0UUpG2whP8L5HUBSqJA
,Last Breathe,Creed,,238000,0,,
4IoYz8XqqdowINzfRrFnhi,You Found Me,The Fray,The Fray,241853,3,2009-02-02,https://api.spotify.com/v1/tracks/4IoYz8XqqdowINzfRrFnhi
328vwrjOdWDdsU3Ekod8Kf,Love Don't Die,The Fray,Love Don't Die,183333,1,2013-10-21,https://api.spotify.com/v1/tracks/328vwrjOdWDdsU3Ekod8Kf
1uwTmwkjv7wFImfzegvdI6,She Hates Me,Puddle Of Mudd,Come Clean,216640,6,2001-01-01,https://api.spotify.com/v1/tracks/1uwTmwkjv7wFImfzegvdI6
4raMVghwcPZLE95KYSVAss,Psycho,Puddle Of Mudd,Best Of,210653,9,2010-01-01,https://api.spotify.com/v1/tracks/4raMVghwcPZLE95KYSVAss
6BUpsogm0YdvS9ox13rjlt,How You Remind Me,Nickelback,Silver Side Up,223840,2,2001-09-11,https://api.spotify.com/v1/tracks/6BUpsogm0YdvS9ox13rjlt
7aySoZnwt7c6lA54qVVUOk,Never Gonna Be Alone,Nickelback,Dark Horse,227026,7,2008-10-28,https://api.spotify.com/v1/tracks/7aySoZnwt7c6lA54qVVUOk
4QJLKU75Rg4558f4LbDBRi,If Today Was Your Last Day,Nickelback,Dark Horse,249066,10,2008-10-28,https://api.spotify.com/v1/tracks/4QJLKU75Rg4558f4LbDBRi
,Feelin' Way Too Damn Good,Nickelback,,256000,0,,
1jq28NGw6wdtFKx8MBPy6C,Burn It to the Ground,Nickelback,Dark Horse,212346,2,2008-10-28,https://api.spotify.com/v1/tracks/1jq28NGw6wdtFKx8MBPy6C
2vBiZ7nBe0OqTZKWGP0s4K,Lullaby,Nickelback,Here and Now (Audio Only Version),228106,6,2011-11-14,https://api.spotify.com/v1/tracks/2vBiZ7nBe0OqTZKWGP0s4K
6wO0vMRAJB0r1lEWBJZNOq,Something in Your Mouth,Nickelback,Dark Horse,219253,1,2008-10-28,https://api.spotify.com/v1/tracks/6wO0vMRAJB0r1lEWBJZNOq
2wdEXKLcuU7B0M2gqFmABH,Photograph,Nickelback,All the Right Reasons (Special Edition),258920,3,2005-09-26,https://api.spotify.com/v1/tracks/2wdEXKLcuU7B0M2gqFmABH
56h3v9zaotemQ0NB21dlkg,S.E.X.,Nickelback,Dark Horse,233840,9,2008-10-28,https://api.spotify.com/v1/tracks/56h3v9zaotemQ0NB21dlkg
0n2RMFCf3wfKJ9h3E3BKO8,Savin' Me,Nickelback,All the Right Reasons (Special Edition),219320,5,2005-09-26,https://api.spotify.com/v1/tracks/0n2RMFCf3wfKJ9h3E3BKO8
44w63XqGr3sATAzOnOySgF,If Everyone Cared,Nickelback,All the Right Reasons (Special Edition),218013,9,2005-09-26,https://api.spotify.com/v1/tracks/44w63XqGr3sATAzOnOySgF
1RG8MABX0VciDk6WYb8pBv,This Afternoon,Nickelback,Dark Horse,273493,11,2008-10-28,https://api.spotify.com/v1/tracks/1RG8MABX0VciDk6WYb8pBv
3iN6UdRp0kJZlWRitU8zz9,3AM - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,224906,9,2007-10-02,https://api.spotify.com/v1/tracks/3iN6UdRp0kJZlWRitU8zz9
0PXWpNBYg52gABrn1qL1bD,Unwell - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,237266,16,2007-10-02,https://api.spotify.com/v1/tracks/0PXWpNBYg52gABrn1qL1bD
4a5cwZZc57KyccBxFS2yjV,She's so Mean,Matchbox Twenty,She's so Mean,230607,1,2012-06-12,https://api.spotify.com/v1/tracks/4a5cwZZc57KyccBxFS2yjV
2KVwlelhxKUy8LVV6JypH3,Push,Matchbox Twenty,Yourself or Someone Like You,238666,4,1996-10-01,https://api.spotify.com/v1/tracks/2KVwlelhxKUy8LVV6JypH3
5rdRPZnY9B2pxJNWImbsFn,If You're Gone - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,274293,13,2007-10-02,https://api.spotify.com/v1/tracks/5rdRPZnY9B2pxJNWImbsFn
40LQiUUUKXVGyNs09lHVjW,Lips Of An Angel,Hinder,Extreme Behavior,261853,8,2005-01-01,https://api.spotify.com/v1/tracks/40LQiUUUKXVGyNs09lHVjW
10fddGyyeUquZZ2uPTjD7P,Better Than Me,Hinder,Extreme Behavior,223533,6,2005-01-01,https://api.spotify.com/v1/tracks/10fddGyyeUquZZ2uPTjD7P
51HpNM8RKewP5PAuBLqXwy,All American Nightmare,Hinder,All American Nightmare,197453,2,2010-01-01,https://api.spotify.com/v1/tracks/51HpNM8RKewP5PAuBLqXwy
4xNfsvj9mOVnMTvHZZ8HNk,Without You,Hinder,Take It To The Limit,232266,5,2008-01-01,https://api.spotify.com/v1/tracks/4xNfsvj9mOVnMTvHZZ8HNk
5puD92INM62UApUxDVVlbq,By The Way,Hinder,Extreme Behavior,231680,3,2005-01-01,https://api.spotify.com/v1/tracks/5puD92INM62UApUxDVVlbq
1e5grnGb7YIcX9EuJM1mtB,Higher,Creed,Greatest Hits,326293,6,2004,https://api.spotify.com/v1/tracks/1e5grnGb7YIcX9EuJM1mtB
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,Three Days Grace,Three Days Grace (Expanded Edition),231480,3,2003-07-22,https://api.spotify.com/v1/tracks/6rUp7v3l8yC4TKxAAR5Bmx
5MY50Gj2K5g3P9vSqYtN0J,Cage The Beast,Adelitas Way,Home School Valedictorian,196893,6,2011-01-01,https://api.spotify.com/v1/tracks/5MY50Gj2K5g3P9vSqYtN0J
4CbKVDZkYKdv69I4bCaKUq,Hero,Skillet,Awake,186813,1,2009-08-21,https://api.spotify.com/v1/tracks/4CbKVDZkYKdv69I4bCaKUq
5pRElcsPZrgZXkoON2o5Go,Comatose,Skillet,Comatose,230426,5,2006-10-03,https://api.spotify.com/v1/tracks/5pRElcsPZrgZXkoON2o5Go
0nkzd3yNniB767zSDDdLZ3,Awake and Alive,Skillet,Awake,209493,4,2009-08-21,https://api.spotify.com/v1/tracks/0nkzd3yNniB767zSDDdLZ3
5tXPbEbEouMSEbqQHO0qQa,Move,Thousand Foot Krutch,The Art Of Breaking,208693,7,2005-01-01,https://api.spotify.com/v1/tracks/5tXPbEbEouMSEbqQHO0qQa
36SXqDn3OD3GDTleD0qeeJ,Last Resort,Papa Roach,To Be Loved: The Best Of Papa Roach (Explicit Version),200480,2,2010-01-01,https://api.spotify.com/v1/tracks/36SXqDn3OD3GDTleD0qeeJ
3iGjPHGVRKPgQ6LvSN2zJI,Scars,Papa Roach,To Be Loved: The Best Of Papa Roach (Explicit Version),208213,5,2010-01-01,https://api.spotify.com/v1/tracks/3iGjPHGVRKPgQ6LvSN2zJI
4H9ifdj1oZr60PZXwIeutP,Under The Knife,Rise Against,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,165173,5,2012-01-01,https://api.spotify.com/v1/tracks/4H9ifdj1oZr60PZXwIeutP
48ncRBVLgiu8MY7O70VVw5,Ladies And Gentlemen,Saliva,Blood Stained Love Story,217240,1,2007-01-01,https://api.spotify.com/v1/tracks/48ncRBVLgiu8MY7O70VVw5
5wBLDkxVvclanSitx5jq8e,Undead,Hollywood Undead,Swan Songs,265053,1,2008-09-02,https://api.spotify.com/v1/tracks/5wBLDkxVvclanSitx5jq8e
56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,Three Days Grace,One-X,231400,3,2006-06-25,https://api.spotify.com/v1/tracks/56sk7jBpZV0CD31G9hEU3b
5PZ2cqh9Yem2g6cTSOLllz,Pain,Three Days Grace,One-X,202973,2,2006-06-25,https://api.spotify.com/v1/tracks/5PZ2cqh9Yem2g6cTSOLllz
2qABxQZhfAthNxszLiSsUw,Hell Yeah,Rev Theory,Light It Up,247613,1,2008-01-01,https://api.spotify.com/v1/tracks/2qABxQZhfAthNxszLiSsUw
3anO2IahAOsmsz9p4Mb8aR,Remedy,Seether,Karma & Effect,207213,2,2005-05-24,https://api.spotify.com/v1/tracks/3anO2IahAOsmsz9p4Mb8aR
4PwwOQlMospZqfThpnkypH,Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),193893,2,2007,https://api.spotify.com/v1/tracks/4PwwOQlMospZqfThpnkypH
3K9QlS0VCtkzUvo0HY75VE,Love Stinks,The J. Geils Band,Love Stinks,224560,6,1980,https://api.spotify.com/v1/tracks/3K9QlS0VCtkzUvo0HY75VE
17R0ymMIRniaL9VeMvZHpW,Me and My Girl,Theory of a Deadman,Gasoline (Special Edition),220440,9,2005-03-28,https://api.spotify.com/v1/tracks/17R0ymMIRniaL9VeMvZHpW
13BT6lSZX1uM2RUWfyWdlY,Hero Of War,Rise Against,Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,253080,10,2011-03-08,https://api.spotify.com/v1/tracks/13BT6lSZX1uM2RUWfyWdlY
3pxCXv0NACYfYnLjFcQW5D,Addicted,Saving Abel,Saving Abel,222826,2,2008-01-01,https://api.spotify.com/v1/tracks/3pxCXv0NACYfYnLjFcQW5D
7AiENVyU1HoEpdq3F4VRVd,Not Meant to Be,Theory of a Deadman,Transformers: Revenge Of The Fallen The Album,214333,8,2009-06-12,https://api.spotify.com/v1/tracks/7AiENVyU1HoEpdq3F4VRVd
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,How To Save A Life,262533,3,2005-09-13,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J
48777AboKgh2UsZbR21bDC,Stay,Black Stone Cherry,Between the Devil & the Deep Blue Sea (Special Edition),202320,10,2011-01-01,https://api.spotify.com/v1/tracks/48777AboKgh2UsZbR21bDC
0d2YnyIPgmPQqNSzDg8s8Q,It's Been Awhile,Staind,The Singles,264706,5,2006-11-13,https://api.spotify.com/v1/tracks/0d2YnyIPgmPQqNSzDg8s8Q
5EU1mh0C4Km3k6vGvIDN2J,Summer Of '69,Bryan Adams,The Best Of Me,212933,4,2002-01-01,https://api.spotify.com/v1/tracks/5EU1mh0C4Km3k6vGvIDN2J
2bPg5VMINVxErc926XcyOu,Have You Ever Seen The Rain,Creedence Clearwater Revival,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,158866,12,2005-12-14,https://api.spotify.com/v1/tracks/2bPg5VMINVxErc926XcyOu
4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,Faces,Ooh La La,214080,10,1973,https://api.spotify.com/v1/tracks/4lJ6YVXQ0jUk5ILu0PSrA4
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,Never Trust a Happy Song,218013,2,2011-09-02,https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N
5r35Zd5Onw3aV3Gm9XdgtI,Come As You Are,Nirvana,Nirvana (International Version),219026,6,2002-01-01,https://api.spotify.com/v1/tracks/5r35Zd5Onw3aV3Gm9XdgtI
5e6x5YRnMJIKvYpZxLqdpH,Fortunate Son,Creedence Clearwater Revival,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,138053,6,2005-12-14,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH
1IBk5PttmnPcGnysEwtiXi,Simple Man,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,356960,6,1998,https://api.spotify.com/v1/tracks/1IBk5PttmnPcGnysEwtiXi
4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,Nirvana,Nirvana (International Version),300826,5,2002-01-01,https://api.spotify.com/v1/tracks/4hy4fb5D1KL50b3sng9cjw
1on38cSel8kKB8A1ElH0sq,2 Sides Of Me,Hinder,All American Nightmare,204600,1,2010-01-01,https://api.spotify.com/v1/tracks/1on38cSel8kKB8A1ElH0sq
4mjG77mVcAtEP16Un5xIwH,Put That Record On,Hinder,All American Nightmare,218666,10,2010-01-01,https://api.spotify.com/v1/tracks/4mjG77mVcAtEP16Un5xIwH
7L9e782g96aui5e04i1mWM,Red Tail Lights,Hinder,All American Nightmare,228320,7,2010-01-01,https://api.spotify.com/v1/tracks/7L9e782g96aui5e04i1mWM
2VlZtJdJKSS9yuT2KHRyJK,Waking Up The Devil,Hinder,All American Nightmare,251786,6,2010-01-01,https://api.spotify.com/v1/tracks/2VlZtJdJKSS9yuT2KHRyJK
4ZtsMhrBydIK278IW3TWAS,Everybody's Wrong,Hinder,All American Nightmare,221320,9,2010-01-01,https://api.spotify.com/v1/tracks/4ZtsMhrBydIK278IW3TWAS
4igIYHF3B5VBxEafHauVo3,Fat Bottomed Girls - Remastered 2011,Queen,Jazz (Deluxe Remastered Version),255600,2,1978-11-10,https://api.spotify.com/v1/tracks/4igIYHF3B5VBxEafHauVo3
4p7isjE8RGKAYdjOdWijK7,Paralyzer,Finger Eleven,Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts),208106,1,2007,https://api.spotify.com/v1/tracks/4p7isjE8RGKAYdjOdWijK7
6cLHEOfqLBWihcVjqGJCU3,Hollywood Whore,Papa Roach,Metamorphosis,234493,3,2009-01-01,https://api.spotify.com/v1/tracks/6cLHEOfqLBWihcVjqGJCU3
0zeqKbySjKbfW5jyl3PMsW,About A Girl - Remastered,Nirvana,Bleach: Deluxe Edition,168160,3,1989-06-15,https://api.spotify.com/v1/tracks/0zeqKbySjKbfW5jyl3PMsW
3yAv8odZcXu8yzKxYgeagf,45,Shinedown,Leave a Whisper,250093,12,2003-05-27,https://api.spotify.com/v1/tracks/3yAv8odZcXu8yzKxYgeagf
4MgGdPmbySSVLUPBxzQ7mx,Keep Your Hands to Yourself,The Georgia Satellites,Rhino Hi-Five: The Georgia Satellites,205000,1,2007-04-24,https://api.spotify.com/v1/tracks/4MgGdPmbySSVLUPBxzQ7mx
5KWXi2eCYsC6ofIILjvG4V,Signs,Five Man Electrical Band,Absolutely Right - The Best Of Five Man Electrical Band,241693,1,2009-01-01,https://api.spotify.com/v1/tracks/5KWXi2eCYsC6ofIILjvG4V
